"id","season_id","season","team_id","position","wins","draws","losses","points"
1,1,"2018/19",1,1,16,0,4,32
2,1,"2018/19",2,2,15,0,5,30
3,1,"2018/19",3,3,15,0,5,30
4,1,"2018/19",4,4,14,0,6,28
5,1,"2018/19",5,5,12,0,8,24
6,1,"2018/19",6,6,11,0,9,22
7,1,"2018/19",7,7,8,0,12,16
8,1,"2018/19",8,8,7,0,13,14
9,1,"2018/19",9,9,7,0,13,14
10,1,"2018/19",10,10,5,0,15,10
11,1,"2018/19",11,11,0,0,20,0
12,2,"2019/20",3,1,17,0,4,34
13,2,"2019/20",2,2,17,0,4,34
14,2,"2019/20",1,3,15,0,6,30
15,2,"2019/20",10,4,15,0,6,30
16,2,"2019/20",6,5,13,0,8,26
17,2,"2019/20",4,6,11,0,10,22
18,2,"2019/20",7,7,10,0,11,20
19,2,"2019/20",12,8,9,0,12,18
20,2,"2019/20",8,9,9,0,12,18
21,2,"2019/20",5,10,6,0,15,12
22,2,"2019/20",9,11,3,0,18,6
23,2,"2019/20",11,12,1,0,20,2
24,3,"2020/21",2,1,20,0,2,40
25,3,"2020/21",3,2,15,0,7,30
26,3,"2020/21",1,3,15,0,7,30
27,3,"2020/21",7,4,13,0,9,26
28,3,"2020/21",12,5,13,0,9,26
29,3,"2020/21",10,6,12,0,10,24
30,3,"2020/21",4,7,12,0,10,24
31,3,"2020/21",8,8,11,0,11,22
32,3,"2020/21",6,9,11,0,11,22
33,3,"2020/21",5,10,6,0,16,12
34,3,"2020/21",9,11,3,0,19,6
35,3,"2020/21",13,12,1,0,21,2
36,4,"2021/22",2,1,20,0,2,40
37,4,"2021/22",3,2,17,0,5,34
38,4,"2021/22",6,3,15,0,7,30
39,4,"2021/22",5,4,13,0,9,26
40,4,"2021/22",1,5,13,0,9,26
41,4,"2021/22",4,6,11,0,11,22
42,4,"2021/22",12,7,11,0,11,22
43,4,"2021/22",8,8,9,0,13,18
44,4,"2021/22",10,9,8,0,14,16
45,4,"2021/22",7,10,7,0,15,14
46,4,"2021/22",9,11,6,0,16,12
47,4,"2021/22",13,12,2,0,20,4
48,5,"2022/23",2,1,17,0,5,34
49,5,"2022/23",3,2,15,0,7,30
50,5,"2022/23",1,3,14,0,8,28
51,5,"2022/23",6,4,13,0,9,26
52,5,"2022/23",7,5,11,0,11,22
53,5,"2022/23",8,6,11,0,11,22
54,5,"2022/23",10,7,10,0,12,20
55,5,"2022/23",12,8,10,0,12,20
56,5,"2022/23",4,9,9,0,13,18
57,5,"2022/23",9,10,9,0,13,18
58,5,"2022/23",5,11,7,0,15,14
59,5,"2022/23",14,12,6,0,16,12
60,6,"2023/24",3,1,17,0,3,34
61,6,"2023/24",2,2,13,0,7,26
62,6,"2023/24",8,3,12,0,8,24
63,6,"2023/24",10,4,11,0,9,22
64,6,"2023/24",6,5,11,0,9,22
65,6,"2023/24",1,6,9,0,11,18
66,6,"2023/24",4,7,9,0,11,18
67,6,"2023/24",7,8,9,0,11,18
68,6,"2023/24",9,9,9,0,11,18
69,6,"2023/24",5,10,6,0,14,12
70,6,"2023/24",14,11,4,0,16,8
71,7,"2024/25",2,1,16,0,6,32
72,7,"2024/25",1,2,16,0,6,32
73,7,"2024/25",3,3,14,0,8,28
74,7,"2024/25",8,4,14,0,8,28
75,7,"2024/25",5,5,13,0,9,26
76,7,"2024/25",10,6,12,0,10,24
77,7,"2024/25",7,7,11,0,11,22
78,7,"2024/25",4,8,10,0,12,20
79,7,"2024/25",15,9,8,0,14,16
80,7,"2024/25",6,10,8,0,14,16
81,7,"2024/25",13,11,6,0,16,12
82,7,"2024/25",9,12,4,0,18,8